Total Points,Name
10,Bernd Leno
0,Rúnar Alex Rúnarsson
0,Willian Borges Da Silva
44,Pierre-Emerick Aubameyang
26,Cédric Soares
85,Alexandre Lacazette
41,Granit Xhaka
1,Pablo Marí
0,Héctor Bellerín
0,Sead Kolasinac
11,Mohamed Naser El Sayed Elneny
12,Ainsley Maitland-Niles
16,Rob Holding
71,Thomas Partey
106,Kieran Tierney
38,Nicolas Pépé
0,Lucas Torreira
15,Edward Nketiah
112,Emile Smith Rowe
141,Bukayo Saka
119,Gabriel Magalhães
0,Konstantinos Mavropanos
0,Mattéo Guendouzi
80,Gabriel Teodoro Martinelli Silva
0,William Saliba
105,Ben White
32,Nuno Varela Tavares
28,Albert Sambi Lokonga
2,Folarin Balogun
1,Reiss Nelson
0,Karl Hein
107,Martin Ødegaard
119,Aaron Ramsdale
0,Arthur Okonkwo
69,Takehiro Tomiyasu
0,Charlie Patino
0,Omari Hutchinson
0,Salah-Eddine Oulad M'hand
0,Mika Biereth
0,Ryan Alebiosu
0,Zach Awe
0,Zak Swanson
0,Mazeed Ogungbo
0,Marcelo Flores
0,Miguel Azeez
27,Calum Chambers
1,Jed Steer
0,Conor Hourihane
105,Emiliano Martínez
0,Björn Engels
11,Bertrand Traoré
13,Morgan Sanson
84,John McGinn
20,Kortney Hause
1,Mahmoud Ahmed Ibrahim Hassan
100,Tyrone Mings
98,Ollie Watkins
16,Marvelous Nakamba
77,Emiliano Buendía Stati
121,Matthew Cash
68,Ezri Konsa Ngoyo
0,Frédéric Guilbert
1,Wesley Moraes
0,Mbwana Ally Samatta
1,Keinan Davis
69,Douglas Luiz Soares de Paulo
99,Jacob Ramsey
42,Ashley Young
58,Lucas Digne
84,Danny Ings
34,Leon Bailey
0,Aaron Ramsey
1,Jaden Philogene-Bidace
13,Carney Chukwuemeka
3,Cameron Archer
0,Viljami Sinisalo
0,Lamare Bogarde
1,Tim Iroegbunam
0,Filip Marschall
0,Josh Feeney
63,Philippe Coutinho Correia
0,Kaine Hayden
0,Robin Olsen
0,Benjamin Chrisene
0,Tommi O'Reilly
89,Pontus Jansson
78,Christian Nørgaard
126,Ivan Toney
1,Tariqe Fosu-Henry
74,David Raya Martin
78,Sergi Canós
2,Pelenda Joshua Dasilva
84,Rico Henry
80,Vitaly Janelt
26,Saman Ghoddos
43,Mathias Jensen
10,Charlie Goode
11,Marcus Forss
32,Mads Roerslev Rasmussen
6,Mads Bech Sørensen
89,Ethan Pinnock
0,Ellery Balcombe
0,Jan Zamburek
0,Patrik Gunnarsson
0,Halil Dervişoğlu
105,Bryan Mbeumo
4,Mads Bidstrup
35,Frank Onyeka
61,Kristoffer Ajer
3,Dominic Thompson
33,Shandon Baptiste
63,Yoane Wissa
31,Álvaro Fernández
1,Finley Stevens
18,Mathias Jorgensen
0,Paris Maghoma
0,Matthew Cox
0,Maxwell Haygarth
0,Nathan Young-Coombes
0,Myles Peart-Harris
2,Jonas Lössl
20,Christian Eriksen
0,Julian Jeanvier
42,Adam Lallana
2,Jason Steele
53,Pascal Groß
48,Shane Duffy
0,Davy Pröpper
70,Lewis Dunk
43,Solomon March
54,Adam Webster
65,Joël Veltman
94,Neal Maupay
95,Leandro Trossard
0,Mathew Ryan
0,Alireza Jahanbakhsh
0,Bernardo Fernandes Da Silva Junior
99,Robert Sánchez
41,Yves Bissouma
61,Tariq Lamptey
5,Aaron Connolly
13,Steven Alzate
74,Alexis Mac Allister
58,Jakub Moder
45,Danny Welbeck
50,Enock Mwepu
0,Kjell Scherpen
0,Florin Andone
0,Andi Zeqiri
0,Michal Karbownik
2,Taylor Richards
4,Moisés Caicedo
0,Haydon Roberts
93,Marc Cucurella
1,Jürgen Locadia
3,Jeremy Sarmiento
0,Ed Turns
0,Marc Leonard
1,Evan Ferguson
0,Thomas McGill
0,Odeluga Offiah
68,James Tarkowski
0,Phil Bardsley
33,Erik Pieters
24,Jack Cork
3,Dale Stephens
1,Kevin Long
51,Jay Rodriguez
17,Ashley Barnes
74,Ben Mee
62,Ashley Westwood
33,Johann Berg Gudmundsson
57,Matthew Lowton
32,Matej Vydra
96,Nick Pope
53,Charlie Taylor
0,Will Norris
59,Josh Brownhill
0,Josh Benson
0,Bailey Peacock-Farrell
66,Dwight McNeil
27,Nathan Collins
4,Wayne Hennessey
0,Lewis Richardson
0,Bobby Thomas
0,Owen Dodgson
51,Aaron Lennon
79,Maxwel Cornet
40,Connor Roberts
34,Wout Weghorst
0,Sam Waller
68,César Azpilicueta
0,Olivier Giroud
114,Thiago Emiliano da Silva
91,Marcos Alonso
98,Jorge Luiz Frello Filho
7,Ross Barkley
72,Mateo Kovacic
0,Michy Batshuayi
131,Antonio Rüdiger
19,Kepa Arrizabalaga
69,N'Golo Kanté
68,Hakim Ziyech
38,Ruben Loftus-Cheek
63,Andreas Christensen
46,Timo Werner
54,Benjamin Chilwell
0,Tammy Abraham
54,Christian Pulisic
144,Mason Mount
0,Ethan Ampadu
49,Callum Hudson-Odoi
93,Kai Havertz
110,Reece James
108,Edouard Mendy
29,Malang Sarr
83,Trevoh Chalobah
64,Romelu Lukaku
1,Emerson Palmieri dos Santos
13,Saúl Ñíguez
0,Marcus Bettinelli
0,Lewis Hall
0,Harvey Vale
0,Robert Kenedy Nunes do Nascimento
127,Conor Gallagher
97,Vicente Guaita
17,James Tomkins
45,James McArthur
55,Christian Benteke
74,Cheikhou Kouyaté
0,Martin Kelly
16,Luka Milivojevic
67,Jordan Ayew
113,Wilfried Zaha
69,Jeffrey Schlupp
19,Jack Butland
4,Jairo Riedewald
0,Jarosław Jach
46,Jean-Philippe Mateta
8,Eberechi Eze
1,Nathan Ferguson
97,Tyrick Mitchell
29,Will Hughes
65,Michael Olise
55,Joel Ward
97,Marc Guéhi
95,Joachim Andersen
27,Nathaniel Clyne
0,Reece Hannam
1,Jesurun Rak-Sakyi
0,Robert Street
0,Scott Banks
0,Remi Matthews
82,Odsonne Edouard
0,Tayo Adaramola
22,Anwar El Ghazi
9,Fabian Delph
0,Gylfi Sigurdsson
64,Seamus Coleman
0,James Rodríguez
0,Bernard Anício Caldeira Duarte
80,Michael Keane
87,Jordan Pickford
54,Allan Marques Loureiro
15,André Filipe Tavares Gomes
77,Abdoulaye Doucouré
55,Alex Iwobi
16,Yerry Mina
11,Tom Davies
41,Dominic Calvert-Lewin
38,Mason Holgate
43,Ben Godfrey
83,Richarlison de Andrade
0,João Virgínia
25,Donny van de Beek
31,Bamidele Alli
12,Asmir Begović
66,Andros Townsend
83,Demarai Gray
18,Jonjoe Kenny
83,Anthony Gordon
